PlayerID,G,GS,MP,PTS,TRB,AST,STL,BLK,TOV,PF
gilgesh01,76.0,76.0,34.2,32.7,5.0,6.4,1.7,1.0,2.4,2.2
antetgi01,67.0,67.0,34.2,30.4,11.9,6.5,0.9,1.2,3.1,2.3
jokicni01,70.0,70.0,36.7,29.6,12.7,10.2,1.8,0.6,3.3,2.3
doncilu01,50.0,50.0,35.4,28.2,8.2,7.7,1.8,0.4,3.6,2.5
doncilu01,22.0,22.0,35.7,28.1,8.3,7.8,2.0,0.4,3.4,2.6
doncilu01,28.0,28.0,35.1,28.2,8.1,7.5,1.6,0.4,3.7,2.4
edwaran01,79.0,79.0,36.3,27.6,5.7,4.5,1.2,0.6,3.2,1.9
tatumja01,72.0,72.0,36.4,26.8,8.7,6.0,1.1,0.5,2.9,2.2
duranke01,62.0,62.0,36.5,26.6,6.0,4.2,0.8,1.2,3.1,1.7
maxeyty01,52.0,52.0,37.7,26.3,3.3,6.1,1.8,0.4,2.4,2.2
cunnica01,70.0,70.0,35.0,26.1,6.1,9.1,1.0,0.8,4.4,2.8
brunsja01,65.0,65.0,35.4,26.0,2.9,7.3,0.9,0.1,2.5,2.1
banchpa01,46.0,46.0,34.4,25.9,7.5,4.8,0.8,0.6,3.0,2.1
bookede01,75.0,75.0,37.3,25.6,4.1,7.1,0.9,0.2,2.9,2.6
ballla01,47.0,47.0,32.0,25.2,4.9,7.4,1.1,0.3,3.6,3.3
lillada01,58.0,58.0,36.1,24.9,4.7,7.1,1.2,0.2,2.8,1.7
davisan02,51.0,51.0,33.5,24.7,11.6,3.5,1.2,2.2,2.2,1.9
davisan02,42.0,42.0,34.3,25.7,11.9,3.4,1.3,2.1,2.2,2.0
davisan02,9.0,9.0,29.6,20.0,10.1,4.4,0.6,2.2,2.2,1.8
irvinky01,50.0,50.0,36.1,24.7,4.8,4.6,1.3,0.5,2.2,2.0
willizi01,30.0,30.0,28.6,24.6,7.2,5.3,1.2,0.9,3.0,2.7
curryst01,70.0,70.0,32.2,24.5,4.4,6.0,1.1,0.4,2.9,1.4
jamesle01,70.0,70.0,34.9,24.4,7.8,8.2,1.0,0.6,3.7,1.4
townska01,72.0,72.0,35.0,24.4,12.8,3.1,1.0,0.7,2.7,3.5
wembavi01,46.0,46.0,33.2,24.3,11.0,3.7,1.1,3.8,3.2,2.3
wagnefr01,60.0,60.0,33.7,24.2,5.7,4.7,1.3,0.4,2.3,2.5
youngtr01,76.0,76.0,36.0,24.2,3.1,11.6,1.2,0.2,4.7,1.9
mitchdo01,71.0,71.0,31.4,24.0,4.5,5.0,1.3,0.2,2.1,2.0
thomaca02,25.0,23.0,31.2,24.0,3.3,3.8,0.6,0.1,2.5,1.8
herroty01,77.0,77.0,35.4,23.9,5.2,5.5,0.9,0.2,2.6,1.1
embiijo01,19.0,19.0,30.2,23.8,8.2,4.5,0.7,0.9,3.3,2.2
foxde01,62.0,62.0,36.1,23.5,4.8,6.3,1.5,0.4,2.8,2.6
foxde01,45.0,45.0,37.0,25.0,5.0,6.1,1.5,0.4,3.0,2.6
foxde01,17.0,17.0,34.0,19.7,4.3,6.8,1.5,0.3,2.4,2.7
lavinza01,74.0,74.0,35.2,23.3,4.3,4.2,0.8,0.2,2.8,1.6
lavinza01,42.0,42.0,34.1,24.0,4.8,4.5,0.9,0.2,2.9,1.5
lavinza01,32.0,32.0,36.6,22.4,3.5,3.8,0.6,0.1,2.7,1.8
moranja01,50.0,50.0,30.4,23.2,4.1,7.3,1.2,0.2,3.7,2.3
hardeja01,79.0,79.0,35.3,22.8,5.8,8.7,1.5,0.7,4.3,2.1
brownja02,63.0,63.0,34.3,22.2,5.8,4.5,1.2,0.3,2.6,2.4
derozde01,77.0,77.0,35.9,22.2,3.9,4.4,0.8,0.4,1.4,1.9
ingrabr01,18.0,18.0,33.1,22.2,5.6,5.2,0.9,0.6,3.8,2.5
