PlayerID,Player,Age,Pos,TeamID
gilgesh01,Shai Gilgeous-Alexander,26.0,PG,OKC
antetgi01,Giannis Antetokounmpo,30.0,PF,MIL
jokicni01,Nikola Jokić,29.0,C,DEN
doncilu01,Luka Dončić,25.0,PG,2TM
doncilu01,Luka Dončić,25.0,PG,DAL
doncilu01,Luka Dončić,25.0,PG,LAL
edwaran01,Anthony Edwards,23.0,SG,MIN
tatumja01,Jayson Tatum,26.0,PF,BOS
duranke01,Kevin Durant,36.0,PF,PHO
maxeyty01,Tyrese Maxey,24.0,PG,PHI
cunnica01,Cade Cunningham,23.0,PG,DET
brunsja01,Jalen Brunson,28.0,PG,NYK
banchpa01,Paolo Banchero,22.0,PF,ORL
bookede01,Devin Booker,28.0,SG,PHO
ballla01,LaMelo Ball,23.0,PG,CHO
lillada01,Damian Lillard,34.0,PG,MIL
davisan02,Anthony Davis,31.0,C,2TM
davisan02,Anthony Davis,31.0,C,LAL
davisan02,Anthony Davis,31.0,PF,DAL
irvinky01,Kyrie Irving,32.0,SG,DAL
willizi01,Zion Williamson,24.0,PF,NOP
curryst01,Stephen Curry,36.0,PG,GSW
jamesle01,LeBron James,40.0,SF,LAL
townska01,Karl-Anthony Towns,29.0,C,NYK
wembavi01,Victor Wembanyama,21.0,C,SAS
wagnefr01,Franz Wagner,23.0,SF,ORL
youngtr01,Trae Young,26.0,PG,ATL
mitchdo01,Donovan Mitchell,28.0,SG,CLE
thomaca02,Cam Thomas,23.0,SG,BRK
herroty01,Tyler Herro,25.0,SG,MIA
embiijo01,Joel Embiid,30.0,C,PHI
foxde01,De'Aaron Fox,27.0,PG,2TM
foxde01,De'Aaron Fox,27.0,PG,SAC
foxde01,De'Aaron Fox,27.0,PG,SAS
lavinza01,Zach LaVine,29.0,SG,2TM
lavinza01,Zach LaVine,29.0,SF,CHI
lavinza01,Zach LaVine,29.0,SG,SAC
moranja01,Ja Morant,25.0,PG,MEM
hardeja01,James Harden,35.0,PG,LAC
brownja02,Jaylen Brown,28.0,SF,BOS
derozde01,DeMar DeRozan,35.0,SF,SAC
ingrabr01,Brandon Ingram,27.0,SF,NOP
jacksja02,Jaren Jackson Jr.,25.0,C,MEM
powelno01,Norman Powell,31.0,SG,LAC
willija06,Jalen Williams,23.0,SG,OKC
leonaka01,Kawhi Leonard,33.0,SF,LAC
murraja01,Jamal Murray,27.0,PG,DEN
murphtr02,Trey Murphy III,24.0,SF,NOP
barrerj01,RJ Barrett,24.0,SF,TOR
mccolcj01,CJ McCollum,33.0,PG,NOP
greenja05,Jalen Green,22.0,SG,HOU
millebr02,Brandon Miller,22.0,SF,CHO
garlada01,Darius Garland,25.0,PG,CLE
poolejo01,Jordan Poole,25.0,SG,WAS
whiteco01,Coby White,24.0,SG,CHI
bridgmi02,Miles Bridges,26.0,PF,CHO
reaveau01,Austin Reaves,26.0,SG,LAL
siakapa01,Pascal Siakam,30.0,PF,IND
porzikr01,Kristaps Porziņģis,29.0,C,BOS
barnesc01,Scottie Barnes,23.0,PF,TOR
simonan01,Anfernee Simons,25.0,SG,POR
banede01,Desmond Bane,26.0,SG,MEM
sabondo01,Domantas Sabonis,28.0,C,SAC
sengual01,Alperen Şengün,22.0,C,HOU
collijo01,John Collins,27.0,PF,UTA
markkla01,Lauri Markkanen,27.0,PF,UTA
johnsja05,Jalen Johnson,23.0,SF,ATL
johnsca02,Cameron Johnson,28.0,PF,BRK
randlju01,Julius Randle,30.0,PF,MIN
halibty01,Tyrese Haliburton,24.0,PG,IND
mobleev01,Evan Mobley,23.0,PF,CLE
sharpsh01,Shaedon Sharpe,21.0,SG,POR
vucevni01,Nikola Vučević,34.0,C,CHI
sextoco01,Collin Sexton,26.0,SG,UTA
portemi01,Michael Porter Jr.,26.0,SF,DEN
adebaba01,Bam Adebayo,27.0,C,MIA
wiggian01,Andrew Wiggins,29.0,SF,2TM
wiggian01,Andrew Wiggins,29.0,SF,GSW
wiggian01,Andrew Wiggins,29.0,SF,MIA
anunoog01,OG Anunoby,27.0,PF,NYK
bridgmi01,Mikal Bridges,28.0,SF,NYK
iveyja01,Jaden Ivey,22.0,SG,DET
butleji01,Jimmy Butler,35.0,SF,2TM
butleji01,Jimmy Butler,35.0,PF,MIA
butleji01,Jimmy Butler,35.0,SF,GSW
murrade01,Dejounte Murray,28.0,PG,NOP
monkma01,Malik Monk,26.0,SG,SAC
quickim01,Immanuel Quickley,25.0,PG,TOR
huntede01,De'Andre Hunter,27.0,SF,2TM
huntede01,De'Andre Hunter,27.0,SF,ATL
huntede01,De'Andre Hunter,27.0,SF,CLE
bealbr01,Bradley Beal,31.0,SG,PHO
avdijde01,Deni Avdija,24.0,SF,POR
georgke01,Keyonte George,21.0,PG,UTA
zubaciv01,Ivica Zubac,27.0,C,LAC
whitede01,Derrick White,30.0,SG,BOS
beaslma01,Malik Beasley,28.0,SG,DET
vassede01,Devin Vassell,24.0,SG,SAS
clarkjo01,Jordan Clarkson,32.0,SG,UTA
