PlayerID,FG,FGA,3P,3PA,FT,FTA,FG%,3P%,FT%
gilgesh01,11.3,21.8,2.1,5.7,7.9,8.8,0.519,0.375,0.898
antetgi01,11.8,19.7,0.2,0.9,6.5,10.6,0.601,0.222,0.617
jokicni01,11.2,19.5,2.0,4.7,5.2,6.4,0.576,0.417,0.8
doncilu01,9.2,20.5,3.5,9.6,6.2,7.9,0.45,0.368,0.782
doncilu01,9.8,21.2,3.4,9.6,5.1,6.6,0.464,0.354,0.767
doncilu01,8.8,20.0,3.6,9.6,7.0,8.9,0.438,0.379,0.791
edwaran01,9.1,20.4,4.1,10.3,5.3,6.3,0.447,0.395,0.837
tatumja01,9.2,20.3,3.5,10.1,5.0,6.1,0.452,0.343,0.814
duranke01,9.5,18.1,2.6,6.0,4.9,5.8,0.527,0.43,0.839
maxeyty01,9.2,21.0,3.1,9.2,4.9,5.6,0.437,0.337,0.879
cunnica01,9.8,20.8,2.1,6.0,4.5,5.3,0.469,0.356,0.846
brunsja01,9.0,18.5,2.3,6.1,5.7,6.9,0.488,0.383,0.821
banchpa01,9.0,19.8,1.9,5.9,6.1,8.4,0.452,0.32,0.727
bookede01,8.7,18.9,2.4,7.3,5.8,6.4,0.461,0.332,0.894
ballla01,8.6,21.3,3.8,11.2,4.1,4.9,0.405,0.339,0.843
lillada01,7.7,17.1,3.4,9.0,6.2,6.8,0.448,0.376,0.921
davisan02,9.2,17.8,0.7,2.4,5.6,7.2,0.516,0.282,0.775
davisan02,9.5,18.0,0.7,2.2,6.0,7.6,0.528,0.298,0.788
davisan02,7.8,16.9,0.8,3.3,3.7,5.3,0.461,0.233,0.688
irvinky01,8.9,18.9,2.9,7.2,3.9,4.3,0.473,0.401,0.916
willizi01,9.6,16.9,0.1,0.4,5.3,8.0,0.567,0.231,0.656
curryst01,8.1,18.0,4.4,11.2,4.0,4.3,0.448,0.397,0.933
jamesle01,9.3,18.1,2.1,5.7,3.7,4.7,0.513,0.376,0.782
townska01,8.9,16.9,2.0,4.7,4.7,5.7,0.526,0.42,0.829
wembavi01,8.9,18.6,3.1,8.8,3.4,4.1,0.476,0.352,0.836
wagnefr01,9.0,19.4,1.7,5.9,4.5,5.2,0.463,0.295,0.871
youngtr01,7.4,18.1,2.9,8.4,6.5,7.4,0.411,0.34,0.875
mitchdo01,8.2,18.6,3.3,8.9,4.2,5.1,0.443,0.368,0.823
thomaca02,8.0,18.2,2.7,7.8,5.3,6.0,0.438,0.349,0.881
herroty01,8.5,17.9,3.3,8.7,3.7,4.2,0.472,0.375,0.878
embiijo01,7.4,16.6,1.2,4.1,7.8,8.9,0.444,0.299,0.882
foxde01,8.7,18.8,1.9,6.1,4.2,5.1,0.463,0.31,0.827
foxde01,9.2,19.6,2.0,6.4,4.5,5.5,0.469,0.322,0.829
foxde01,7.4,16.5,1.5,5.6,3.5,4.2,0.446,0.274,0.819
lavinza01,8.4,16.5,3.2,7.2,3.2,3.9,0.511,0.446,0.825
lavinza01,8.6,16.9,3.2,7.3,3.5,4.3,0.511,0.446,0.797
lavinza01,8.2,16.0,3.2,7.2,2.8,3.2,0.511,0.446,0.874
moranja01,8.1,17.8,1.8,5.7,5.3,6.4,0.454,0.309,0.824
hardeja01,6.7,16.4,3.0,8.5,6.4,7.3,0.41,0.352,0.874
brownja02,8.2,17.7,1.8,5.7,3.9,5.1,0.463,0.324,0.764
derozde01,8.1,17.0,1.1,3.3,4.9,5.7,0.477,0.328,0.857
ingrabr01,8.6,18.5,2.4,6.4,2.6,3.1,0.465,0.374,0.855
jacksja02,8.0,16.4,2.0,5.3,4.2,5.4,0.488,0.375,0.781
powelno01,7.6,15.8,3.0,7.1,3.6,4.4,0.484,0.418,0.804
willija06,8.2,16.9,1.8,4.9,3.4,4.3,0.484,0.365,0.789
leonaka01,8.4,16.8,2.1,5.1,2.6,3.3,0.498,0.411,0.81
murraja01,7.9,16.7,2.3,5.9,3.3,3.7,0.474,0.393,0.886
murphtr02,7.2,15.8,3.0,8.3,3.8,4.3,0.454,0.361,0.887
barrerj01,7.9,16.9,1.8,5.3,3.4,5.4,0.468,0.35,0.63
mccolcj01,7.9,17.9,3.1,8.2,2.2,3.1,0.444,0.373,0.717
greenja05,7.4,17.5,2.9,8.1,3.3,4.1,0.423,0.354,0.813
millebr02,7.3,18.2,3.9,10.9,2.5,2.9,0.403,0.355,0.861
garlada01,7.4,15.7,2.8,7.1,3.0,3.4,0.472,0.401,0.878
poolejo01,6.7,15.5,3.5,9.1,3.6,4.0,0.432,0.378,0.883
whiteco01,6.9,15.1,2.9,7.9,3.7,4.1,0.453,0.37,0.902
bridgmi02,7.3,17.0,2.2,7.0,3.5,4.0,0.431,0.313,0.87
reaveau01,6.5,14.2,2.7,7.3,4.4,5.0,0.46,0.377,0.877
siakapa01,7.9,15.2,1.6,4.2,2.9,3.9,0.519,0.389,0.734
porzikr01,6.6,13.7,2.5,6.0,3.8,4.7,0.483,0.412,0.809
barnesc01,7.3,16.4,1.2,4.3,3.5,4.6,0.446,0.271,0.755
simonan01,6.8,16.1,3.1,8.5,2.5,2.8,0.426,0.363,0.902
banede01,7.1,14.8,2.4,6.1,2.6,2.9,0.484,0.392,0.894
sabondo01,7.5,12.8,0.9,2.2,3.1,4.1,0.59,0.417,0.754
sengual01,7.5,15.0,0.3,1.2,3.9,5.6,0.496,0.233,0.692
collijo01,7.0,13.3,1.5,3.7,3.5,4.1,0.527,0.399,0.848
markkla01,6.3,14.9,2.9,8.5,3.4,3.9,0.423,0.346,0.876
johnsja05,7.5,15.1,1.2,3.9,2.6,3.5,0.5,0.312,0.746
johnsca02,6.2,13.1,2.8,7.2,3.5,3.9,0.475,0.39,0.893
randlju01,6.6,13.6,1.6,4.6,3.9,4.9,0.485,0.344,0.806
halibty01,6.5,13.8,3.0,7.7,2.6,3.0,0.473,0.388,0.851
mobleev01,7.1,12.8,1.2,3.2,3.1,4.3,0.557,0.37,0.725
sharpsh01,6.9,15.3,2.0,6.6,2.6,3.4,0.452,0.311,0.785
vucevni01,7.5,14.2,1.8,4.4,1.6,2.0,0.53,0.402,0.805
sextoco01,6.6,13.8,1.7,4.3,3.4,4.0,0.48,0.406,0.865
portemi01,6.9,13.6,2.5,6.4,1.9,2.5,0.504,0.395,0.768
adebaba01,6.9,14.3,1.0,2.8,3.2,4.2,0.485,0.357,0.765
wiggian01,6.3,14.0,2.2,5.8,3.3,4.3,0.448,0.374,0.763
wiggian01,6.1,13.7,2.2,5.8,3.2,4.2,0.444,0.379,0.777
wiggian01,6.8,14.8,2.1,5.9,3.4,4.6,0.458,0.36,0.731
anunoog01,6.6,13.9,2.3,6.2,2.5,3.1,0.476,0.372,0.81
bridgmi01,7.2,14.4,2.0,5.6,1.2,1.4,0.5,0.354,0.814
iveyja01,6.3,13.8,2.1,5.1,2.8,3.9,0.46,0.409,0.733
butleji01,5.5,10.9,0.6,1.9,6.0,7.1,0.504,0.308,0.842
butleji01,5.7,10.5,0.5,1.4,5.2,6.4,0.54,0.361,0.801
butleji01,5.3,11.1,0.6,2.3,6.7,7.7,0.476,0.279,0.87
murrade01,6.3,15.9,1.7,5.6,3.3,4.0,0.393,0.299,0.823
monkma01,6.3,14.4,2.1,6.6,2.4,2.7,0.439,0.325,0.865
quickim01,5.6,13.3,2.6,6.8,3.4,3.9,0.42,0.378,0.867
huntede01,5.6,11.9,2.5,6.1,3.4,4.0,0.47,0.405,0.846
huntede01,6.1,13.3,2.6,6.7,4.1,4.8,0.461,0.393,0.858
huntede01,4.9,10.0,2.2,5.2,2.4,2.9,0.485,0.426,0.821
bealbr01,6.5,13.1,1.9,5.0,2.1,2.6,0.497,0.386,0.803
avdijde01,5.6,11.7,1.7,4.8,4.0,5.2,0.476,0.365,0.78
georgke01,5.4,13.7,2.6,7.6,3.5,4.3,0.391,0.343,0.818
zubaciv01,7.4,11.8,0.0,0.0,2.0,3.0,0.628,,0.661
whitede01,5.6,12.6,3.5,9.1,1.8,2.1,0.442,0.384,0.839
beaslma01,5.6,13.1,3.9,9.3,1.2,1.7,0.43,0.416,0.679
vassede01,6.2,13.9,2.5,6.7,1.5,1.9,0.443,0.368,0.792
clarkjo01,5.4,13.3,2.3,6.3,3.1,3.9,0.408,0.362,0.797
georgpa01,6.0,13.9,2.3,6.5,1.9,2.4,0.43,0.358,0.814
suggsja01,5.6,13.7,2.2,6.9,2.8,3.1,0.41,0.314,0.882
mathube01,5.4,11.8,1.4,4.0,3.8,4.6,0.458,0.34,0.831
turnemy01,5.4,11.3,2.2,5.5,2.6,3.3,0.481,0.396,0.773
braunch01,6.0,10.4,1.1,2.8,2.2,2.7,0.58,0.397,0.827
kuminjo01,5.5,12.1,1.0,3.2,3.3,5.0,0.454,0.305,0.668
mccaija01,5.5,11.9,2.2,5.8,2.1,2.4,0.46,0.383,0.875
willima07,6.1,10.2,0.0,0.1,3.0,3.7,0.604,0.0,0.804
oubreke01,5.8,12.4,1.2,4.0,2.3,3.1,0.47,0.293,0.751
holmgch01,5.2,10.7,1.4,3.6,3.2,4.2,0.49,0.379,0.754
kuzmaky01,5.7,13.0,1.5,4.8,2.0,3.1,0.436,0.307,0.634
kuzmaky01,6.0,14.2,1.4,5.0,1.8,3.1,0.42,0.281,0.602
kuzmaky01,5.4,11.9,1.5,4.6,2.1,3.2,0.455,0.333,0.663
castlst01,5.2,12.2,1.2,4.1,3.1,4.2,0.428,0.285,0.724
gordoaa01,5.2,9.7,1.5,3.4,2.8,3.5,0.531,0.436,0.81
washipj01,5.3,11.7,1.6,4.2,2.5,3.5,0.453,0.381,0.722
grimequ01,5.1,11.0,2.2,5.6,2.2,2.9,0.467,0.385,0.757
grimequ01,3.6,7.8,1.7,4.3,1.3,1.7,0.463,0.398,0.765
grimequ01,7.7,16.4,2.9,7.9,3.6,4.8,0.469,0.373,0.752
giddejo01,5.3,11.4,1.5,4.0,2.5,3.2,0.465,0.378,0.781
poeltja01,6.4,10.2,0.0,0.1,1.7,2.5,0.627,0.333,0.674
aytonde01,6.6,11.7,0.2,0.8,1.0,1.5,0.566,0.188,0.667
dickgr01,4.9,12.0,2.1,6.0,2.5,2.9,0.41,0.35,0.858
grantje01,4.6,12.2,2.3,6.3,3.0,3.5,0.373,0.365,0.849
pritcpa01,5.1,10.8,3.2,7.8,0.9,1.1,0.472,0.407,0.845
reidna01,5.3,11.5,2.2,5.8,1.4,1.8,0.462,0.379,0.776
daniedy01,6.0,12.1,1.1,3.1,1.1,1.8,0.493,0.34,0.593
manntr01,5.4,12.4,1.8,4.6,1.5,1.6,0.435,0.4,0.905
thompam01,5.6,10.1,0.4,1.3,2.4,3.6,0.557,0.275,0.684
vanvlfr01,4.8,12.7,2.7,7.7,1.9,2.3,0.378,0.345,0.81
brookdi01,5.1,11.9,2.5,6.3,1.3,1.6,0.429,0.397,0.818
smithto05,6.0,9.0,0.0,0.0,2.0,3.0,0.667,,0.667
thompkl01,5.0,12.2,3.0,7.7,0.9,1.0,0.412,0.391,0.905
portibo01,5.7,12.1,1.3,3.6,1.2,1.5,0.466,0.365,0.836
harrito02,5.3,11.0,1.2,3.6,2.0,2.3,0.477,0.345,0.861
hartjo01,5.2,10.0,1.1,3.3,2.1,2.7,0.525,0.333,0.776
allenja01,5.5,7.8,0.0,0.1,2.4,3.4,0.706,0.0,0.718
okongon01,5.2,9.2,0.6,2.0,2.2,2.9,0.567,0.324,0.759
westbru01,5.0,11.1,1.3,3.9,2.1,3.1,0.449,0.323,0.661
marshna01,5.2,10.3,0.9,3.2,1.9,2.3,0.508,0.275,0.813
schrode01,4.5,11.0,1.7,4.9,2.4,2.9,0.406,0.342,0.838
schrode01,6.4,14.1,2.5,6.5,3.1,3.5,0.452,0.387,0.889
schrode01,3.9,10.5,1.5,4.8,1.2,1.6,0.375,0.322,0.744
schrode01,3.4,9.0,1.1,3.8,2.9,3.4,0.378,0.302,0.833
hachiru01,5.0,9.8,1.7,4.2,1.5,1.9,0.509,0.413,0.77
lopezbr01,4.9,9.7,1.7,4.7,1.4,1.7,0.509,0.373,0.826
sarral01,4.9,12.4,1.6,5.1,1.7,2.5,0.394,0.308,0.679
wagnemo01,4.7,8.3,0.9,2.5,2.6,3.7,0.562,0.36,0.718
brogdma01,4.3,10.0,0.7,2.3,3.4,3.8,0.433,0.286,0.88
hendesc01,4.3,10.4,1.6,4.5,2.4,3.1,0.419,0.354,0.767
johnske04,4.8,10.0,1.1,3.6,1.9,2.5,0.482,0.318,0.773
russeda01,4.3,11.0,1.9,6.2,2.1,2.5,0.39,0.314,0.834
russeda01,4.4,10.7,1.9,5.8,1.6,1.8,0.415,0.333,0.849
russeda01,4.1,11.3,2.0,6.6,2.6,3.2,0.367,0.297,0.826
risacza01,4.8,10.4,1.6,4.6,1.4,2.0,0.458,0.355,0.711
aldamsa01,4.8,10.0,1.8,5.0,1.0,1.4,0.483,0.368,0.691
jeromty01,4.6,8.8,1.6,3.6,1.8,2.1,0.516,0.439,0.872
murrake02,4.8,10.8,2.0,5.9,0.8,0.9,0.444,0.343,0.833
walkelo01,4.5,10.6,2.3,6.4,1.2,1.5,0.42,0.354,0.8
barneha02,4.2,8.3,1.9,4.4,2.0,2.4,0.508,0.433,0.809
coulibi01,4.5,10.6,1.1,3.8,2.3,3.1,0.421,0.281,0.746
